DATE,DATA
2000/1/3,31.38
2000/1/4,30.6
2000/1/5,30.8
2000/1/6,31.75
2000/1/7,30.85
2000/1/10,30.83
2000/1/11,30.83
2000/1/12,30.8
2000/1/13,30.8
2000/1/14,30.83
2000/1/17,30.83
2000/1/18,30.89
2000/1/19,30.85
2000/1/20,30.85
2000/1/21,30.85
2000/1/24,30.85
2000/1/25,30.85
2000/1/26,30.85
2000/1/27,30.83
2000/1/28,30.75
2000/1/31,30.75
2000/2/1,31.75
2000/2/2,30.8
2000/2/3,30.8
2000/2/4,30.8
2000/2/7,30.8
2000/2/8,30.75
2000/2/9,30.65
2000/2/10,30.65
2000/2/11,30.63
2000/2/14,30.72
2000/2/15,30.75
2000/2/16,30.72
2000/2/17,30.72
2000/2/18,30.765
2000/2/21,30.765
2000/2/22,30.8
2000/2/23,30.8
2000/2/24,30.85
2000/2/25,30.8
2000/2/28,30.8
2000/2/29,30.76
2000/3/1,30.75
2000/3/2,30.75
2000/3/3,30.75
2000/3/6,30.8
2000/3/7,30.75
2000/3/8,30.76
2000/3/9,30.75
2000/3/10,30.75
2000/3/13,30.75
2000/3/14,30.74
2000/3/15,30.75
2000/3/16,30.815
2000/3/17,30.74
2000/3/20,30.75
2000/3/21,30.78
2000/3/22,30.75
2000/3/23,30.75
2000/3/24,30.7
2000/3/27,30.65
2000/3/28,30.64
2000/3/29,30.6
2000/3/30,30.6
2000/3/31,30.48
2000/4/3,30.5
2000/4/4,30.45
2000/4/5,30.5
2000/4/6,30.48
2000/4/7,30.5
2000/4/10,30.35
2000/4/11,30.35
2000/4/12,30.35
2000/4/13,30.35
2000/4/14,30.45
2000/4/17,30.55
2000/4/18,30.6
2000/4/19,30.62
2000/4/20,30.55
2000/4/21,30.585
2000/4/24,30.6
2000/4/25,30.65
2000/4/26,30.65
2000/4/27,30.65
2000/4/28,30.67
2000/5/1,30.65
2000/5/2,30.68
2000/5/3,30.75
2000/5/4,30.72
2000/5/5,30.68
2000/5/8,30.7
2000/5/9,30.65
2000/5/10,30.73
2000/5/11,30.76
2000/5/12,30.75
2000/5/15,30.83
2000/5/16,30.84
2000/5/17,30.75
2000/5/18,30.82
2000/5/19,30.79
2000/5/22,30.75
2000/5/23,30.8
2000/5/24,30.82
2000/5/25,30.85
2000/5/26,30.85
2000/5/29,30.85
2000/5/30,30.96
2000/5/31,30.85
2000/6/1,30.9
2000/6/2,30.85
2000/6/5,30.83
2000/6/6,30.83
2000/6/7,30.8
2000/6/8,30.8
2000/6/9,30.8
2000/6/12,30.8
2000/6/13,30.8
2000/6/14,30.8
2000/6/15,30.85
2000/6/16,30.9
2000/6/19,30.9
2000/6/20,30.9
2000/6/21,30.83
2000/6/22,30.8
2000/6/23,30.8
2000/6/26,30.81
2000/6/27,30.82
2000/6/28,30.82
2000/6/29,30.83
2000/6/30,30.8
2000/7/3,30.83
2000/7/4,30.83
2000/7/5,30.85
2000/7/6,30.88
2000/7/7,30.88
2000/7/10,30.9
2000/7/11,30.9
2000/7/12,30.9
2000/7/13,30.9
2000/7/14,30.9
2000/7/17,30.96
2000/7/18,31
2000/7/19,31.08
2000/7/20,31.13
2000/7/21,31.08
2000/7/24,31.095
